review,model,sentiment
"The movie was a complete snoozefest.  I regretted every second.  Total waste of money.",Gemini-1.5-Flash,negative
"Seriously, the worst venue I've ever been to.  The sound was terrible, the seats uncomfortable, and the staff rude.",Gemini-1.5-Flash,negative
"This event was so poorly organized, it was a joke.  I left early, feeling ripped off.",Gemini-1.5-Flash,negative
"What a disaster of a movie!  The acting was awful, the plot was nonsensical, and the special effects were cheesy.",Gemini-1.5-Flash,negative
"I wouldn't recommend this venue to my worst enemy.  It was dirty, cramped, and overpriced.",Gemini-1.5-Flash,negative
"The event was a complete letdown.  The performers were underwhelming, and the whole thing felt rushed.",Gemini-1.5-Flash,negative
"This movie was boring and predictable. I could have stayed home and watched paint dry.",Gemini-1.5-Flash,negative
"The sound system at the venue was atrocious. I couldn't hear anything properly.",Gemini-1.5-Flash,negative
"The event was poorly advertised and even worse in reality.  A total waste of time.",Gemini-1.5-Flash,negative
"This movie had a terrible plot and unbelievable acting. I'm asking for my money back.",Gemini-1.5-Flash,negative
"The venue was a dump.  Dirty, smelly, and the staff were unhelpful.",Gemini-1.5-Flash,negative
"Such a disappointing event. The promised entertainment was nowhere to be seen.",Gemini-1.5-Flash,negative
"I fell asleep during this movie.  It was that bad.",Gemini-1.5-Flash,negative
"The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.",Gemini-1.5-Flash,negative
"This event was a chaotic mess.  Things weren't organized and the staff were clueless.",Gemini-1.5-Flash,negative
"The movie was so slow and boring.  I almost walked out.",Gemini-1.5-Flash,negative
"The venue was so small and cramped, it was unbearable.  I couldn't breathe.",Gemini-1.5-Flash,negative
"This event was a complete rip-off.  I'm furious.",Gemini-1.5-Flash,negative
"The movie was predictable and cliché.  I've seen better.",Gemini-1.5-Flash,negative
"The venue was poorly maintained and unclean.  I'm disgusted.",Gemini-1.5-Flash,negative
"This event was disorganized and lacked any real entertainment value.",Gemini-1.5-Flash,negative
"The movie was just awful.  I don't even know where to begin.",Gemini-1.5-Flash,negative
"The venue was noisy and distracting.  I couldn't focus on the event.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I regret attending.",Gemini-1.5-Flash,negative
"The movie was confusing and poorly written.  I was lost the entire time.",Gemini-1.5-Flash,negative
"The venue was far too expensive for what it offered.  I felt cheated.",Gemini-1.5-Flash,negative
"This event was poorly executed and lacked any creativity.",Gemini-1.5-Flash,negative
"The movie was a complete waste of time and money.  Don't bother.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked basic amenities.  I was miserable.",Gemini-1.5-Flash,negative
"This event was underwhelming and disappointing.  I expected so much more.",Gemini-1.5-Flash,negative
"The movie was boring and lacked any substance.  I'm so disappointed.",Gemini-1.5-Flash,negative
"The venue was dirty and smelled awful.  I couldn't even stay for the whole event.",Gemini-1.5-Flash,negative
"This event was poorly managed and lacked any sense of professionalism.",Gemini-1.5-Flash,negative
"The movie was a mess.  The plot was all over the place.",Gemini-1.5-Flash,negative
"The venue was difficult to get to and poorly signposted.  I almost missed the event.",Gemini-1.5-Flash,negative
"This event was a huge letdown.  I'm so angry.",Gemini-1.5-Flash,negative
"The movie was so predictable, it was insulting.  I'm so mad.",Gemini-1.5-Flash,negative
"The venue was overpriced and understaffed.  It was chaos.",Gemini-1.5-Flash,negative
"This event was a complete waste of my evening.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The movie was just plain bad.  I can't believe I paid to see it.",Gemini-1.5-Flash,negative
"The venue was cramped and uncomfortable, making the event unpleasant.",Gemini-1.5-Flash,negative
"This event was poorly advertised and didn't live up to the hype.",Gemini-1.5-Flash,negative
"The movie was a complete disappointment.  I'm so upset.",Gemini-1.5-Flash,negative
"The venue was a fire hazard.  Seriously, it was dangerous.",Gemini-1.5-Flash,negative
"This event was a total disaster.  I'll never go back.",Gemini-1.5-Flash,negative
"The movie was slow, boring, and had terrible acting.",Gemini-1.5-Flash,negative
"The venue was small, dirty, and the sound was terrible.",Gemini-1.5-Flash,negative
"This event was poorly organized and lacked any clear direction.",Gemini-1.5-Flash,negative
"The movie was confusing and lacked a coherent plot.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked adequate seating.",Gemini-1.5-Flash,negative
"This event was a complete waste of time and money.  Avoid it.",Gemini-1.5-Flash,negative
"The movie was predictable and lacked any originality.",Gemini-1.5-Flash,negative
"The venue was difficult to access and lacked proper parking.",Gemini-1.5-Flash,negative
"This event was a disaster.  The performers were unprofessional.",Gemini-1.5-Flash,negative
"The movie was terrible.  I regret watching it.",Gemini-1.5-Flash,negative
"The venue was run-down and in desperate need of repair.",Gemini-1.5-Flash,negative
"This event was a complete letdown.  I'm so disappointed.",Gemini-1.5-Flash,negative
"The movie was boring, predictable, and had terrible dialogue.",Gemini-1.5-Flash,negative
"The venue was overcrowded and chaotic.  It was a nightmare.",Gemini-1.5-Flash,negative
"This event was poorly managed and lacked any customer service.",Gemini-1.5-Flash,negative
"The movie was a complete mess.  I couldn't follow the plot.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and the temperature was unbearable.",Gemini-1.5-Flash,negative
"This event was a waste of time and money.  I'm so angry.",Gemini-1.5-Flash,negative
"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
"The venue was poorly lit and difficult to navigate.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The movie was unoriginal and lacked any creativity.",Gemini-1.5-Flash,negative
"The venue was dirty and lacked basic hygiene standards.",Gemini-1.5-Flash,negative
"This event was a total disappointment.  I'm so upset.",Gemini-1.5-Flash,negative
"The movie was a complete waste of time.  Don't bother watching it.",Gemini-1.5-Flash,negative
"The venue was expensive and didn't offer anything special.",Gemini-1.5-Flash,negative
"This event was poorly organized and chaotic.  It was a mess.",Gemini-1.5-Flash,negative
"The movie was boring and had no redeeming qualities.",Gemini-1.5-Flash,negative
"The venue was inaccessible to those with disabilities.",Gemini-1.5-Flash,negative
"This event was a complete rip-off.  I'm demanding a refund.",Gemini-1.5-Flash,negative
"The movie was slow-paced and lacked any excitement.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked proper ventilation.",Gemini-1.5-Flash,negative
"This event was a total disaster.  I'm so disappointed.",Gemini-1.5-Flash,negative
"The movie was confusing and poorly edited.",Gemini-1.5-Flash,negative
"The venue was noisy and disruptive, ruining the event.",Gemini-1.5-Flash,negative
"This event was a complete waste of my time and money.",Gemini-1.5-Flash,negative
"The movie was predictable and lacked any suspense.",Gemini-1.5-Flash,negative
"The venue was poorly maintained and in need of renovation.",Gemini-1.5-Flash,negative
"This event was a total letdown.  I'm so angry.",Gemini-1.5-Flash,negative
"The movie was boring and had terrible special effects.",Gemini-1.5-Flash,negative
"The venue was difficult to find and poorly advertised.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I regret going.",Gemini-1.5-Flash,negative
"The movie was uninspired and lacked any originality.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked basic amenities.",Gemini-1.5-Flash,negative
"This event was a complete disappointment.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The movie was a complete waste of my time and money.",Gemini-1.5-Flash,negative
"The venue was overpriced and understaffed.  It was a disaster.",Gemini-1.5-Flash,negative
"This event was poorly organized and lacked any entertainment value.",Gemini-1.5-Flash,negative
"The movie was boring and had terrible acting.",Gemini-1.5-Flash,negative
"The venue was dirty and smelled bad.",Gemini-1.5-Flash,negative
"This event was a complete letdown.  I'm so upset.",Gemini-1.5-Flash,negative
"The movie was confusing and difficult to follow.",Gemini-1.5-Flash,negative
"The venue was inaccessible and difficult to navigate.",Gemini-1.5-Flash,negative
"This event was a total waste of my time.",Gemini-1.5-Flash,negative
"The movie was unoriginal and predictable.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked proper seating.",Gemini-1.5-Flash,negative
"This event was a complete disappointment.  I'm so angry.",Gemini-1.5-Flash,negative
"The movie was boring and had a terrible plot.",Gemini-1.5-Flash,negative
"The venue was poorly maintained and in disrepair.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The movie was a waste of time and money.",Gemini-1.5-Flash,negative
"The venue was overcrowded and uncomfortable.",Gemini-1.5-Flash,negative
"This event was a total letdown. I'm so disappointed.",Gemini-1.5-Flash,negative
"This product is garbage. It broke after only a week.  I'm so disappointed.",Gemini-1.5-Flash,negative
"The movie was a complete waste of time.  The plot was nonsensical and the acting was awful.",Gemini-1.5-Flash,negative
"What a terrible event!  Poorly organized, overpriced, and the performers were terrible.",Gemini-1.5-Flash,negative
"This venue is a dump.  Dirty, smelly, and the staff were incredibly rude.",Gemini-1.5-Flash,negative
"I hate this product! It doesn't work as advertised and the customer service is terrible.",Gemini-1.5-Flash,negative
"The movie was boring and predictable. I could have stayed home and watched paint dry.",Gemini-1.5-Flash,negative
"This event was a complete letdown.  I left feeling ripped off and angry.",Gemini-1.5-Flash,negative
"The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.",Gemini-1.5-Flash,negative
"This product is cheaply made and fell apart immediately.  Don't waste your money!",Gemini-1.5-Flash,negative
"The movie was so slow and boring, I almost fell asleep.  Total waste of time.",Gemini-1.5-Flash,negative
"This event was a disorganized mess.  No one knew what was going on.",Gemini-1.5-Flash,negative
"The venue was dirty and smelled awful.  I couldn't wait to leave.",Gemini-1.5-Flash,negative
"This product is a scam! It doesn't work at all.  I want my money back!",Gemini-1.5-Flash,negative
"The movie had terrible special effects and a nonsensical plot.  I'm furious.",Gemini-1.5-Flash,negative
"This event was poorly advertised and even worse in reality.  A complete waste of time.",Gemini-1.5-Flash,negative
"The venue was far too expensive for what it offered.  I felt cheated.",Gemini-1.5-Flash,negative
"This product is defective and I'm stuck with a useless piece of junk.",Gemini-1.5-Flash,negative
"The movie was confusing and poorly written.  I was lost the entire time.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I regret attending.",Gemini-1.5-Flash,negative
"The venue was noisy and distracting.  I couldn't focus on anything.",Gemini-1.5-Flash,negative
